dataset_file,column,meaning,type,valid_values_or_range,example,missing_count,origin,handling_note
processed/staff_access_investigation_linked.csv,num_entries,Number of building/site entries recorded.,integer,0 to 4,0,0,Carried from insider_threat_clean_dataset.csv (sampled row attached to agent),
processed/staff_access_investigation_linked.csv,num_unique_campus,Number of distinct campuses entered.,integer,0 to 3,0,0,Carried from insider_threat_clean_dataset.csv (sampled row attached to agent),
processed/staff_access_investigation_linked.csv,late_exit_flag,"1 if the employee left late (constant 0 in this dataset, so carries no information).",binary flag,"0, 1",0,0,Carried from insider_threat_clean_dataset.csv (sampled row attached to agent),
processed/staff_access_investigation_linked.csv,entry_during_weekend,1 if entry occurred at a weekend.,binary flag,"0, 1",0,0,Carried from insider_threat_clean_dataset.csv (sampled row attached to agent),
processed/staff_access_investigation_linked.csv,Insider_Risk_Label,"1 if the behavioural profile attached to the agent is labelled malicious (renamed from is_malicious). The profile was ATTACHED probabilistically (about 35% chance for agents with high fraud exposure vs 4% for others), so it correlates with fraud exposure by design.",binary flag,"0, 1",0,0,Derived by group script,
processed/staff_access_investigation_linked.csv,Access_Time,"Timestamp of the agent's recorded access to a claim record. GENERATED, one value per agent.",datetime,2026-03-21 20:35:30.527783 to 2026-09-17 20:35:30.541588,2026-09-02 20:35:30.523071,0,Derived by group script,
processed/staff_access_investigation_linked.csv,Record_Accessed,"Claim_ID of a claim the agent handled, or N/A. GENERATED, one value per agent (not a full access log).",text,"1,169 distinct values",CLM005808,31,Derived by group script,
processed/staff_access_investigation_linked.csv,Override_Activity,"Recorded control override: 'No override recorded', 'Approved above authority limit', 'Bypassed secondary verification' or 'Unscheduled record access'. GENERATED, correlated with Insider_Risk_Label.",categorical,Approved above authority limit | Bypassed secondary verification | No override recorded | Unscheduled record access,No override recorded,0,Derived by group script,
processed/staff_access_investigation_linked.csv,Investigation_Outcome,"Outcome of any investigation: No findings, Unsubstantiated, Under investigation or Confirmed - insider risk. GENERATED.",categorical,Confirmed - insider risk | No findings | Under investigation | Unsubstantiated,No findings,0,Derived by group script,
processed/document_metadata_ocr_text_linked.csv,document_id,Unique document identifier (DOC-nnnnn).,identifier,220 distinct values,DOC-00001,0,Derived by group script,Synthetic documents keyed to real Claim_ID/Customer_ID values from the claims table.
processed/document_metadata_ocr_text_linked.csv,Customer_ID,"Identifier of the policyholder/claimant (e.g. CUST018311). One customer can have several claims and portal logins; join key to portal, document and anomaly tables.",identifier,220 distinct values,CUST017562,0,Sampled from the claims table,
processed/document_metadata_ocr_text_linked.csv,Claim_ID,Unique identifier of the insurance claim (e.g. CLM000001). Primary key of the claims table.,identifier,220 distinct values,CLM025767,0,Sampled from the claims table,
processed/document_metadata_ocr_text_linked.csv,upload_time,Timestamp the document was uploaded.,datetime,2026-03-21 20:35:30 to 2026-09-17 20:35:30,2026-09-07 20:35:30,0,Derived by group script,
processed/document_metadata_ocr_text_linked.csv,file_type,"File format: PDF, JPG, PNG or DOCX.",categorical,DOCX | JPG | PDF | PNG,DOCX,0,Derived by group script,
processed/document_metadata_ocr_text_linked.csv,file_size_kb,File size in kilobytes.,integer,81 to 4488,172,0,Derived by group script,
processed/document_metadata_ocr_text_linked.csv,document_type,"Type of document (claim_form, id_document, kyc_update, investigation_note; the raw file also had others).",categorical,claim_form | id_document | investigation_note | kyc_update,id_document,0,Derived by group script,
processed/document_metadata_ocr_text_linked.csv,ocr_text,OCR-style extracted text of the document. TEMPLATE-GENERATED and contains synthetic names and ID-number-style strings - not real personal data.,free text,"text, 190-367 characters",NATIONAL IDENTITY DOCUMENT. Full Name: Allison Hill. ID Number: 792...,0,Derived by group script,
processed/document_metadata_ocr_text_linked.csv,duplicate_group_id,Identifier of a group of near-identical documents (DUPGRP-nnn); blank if the document is not in a group.,identifier,31 distinct values,DUPGRP-001,143,Derived by group script,
processed/document_metadata_ocr_text_linked.csv,linked_identity_change,Identity_Changed_Flag of the claim the document belongs to.,binary flag,"0, 1",1,0,Derived by group script,
processed/document_metadata_ocr_text_linked.csv,document_similarity_score,0-1 similarity of the document to its peers (difflib ratio; highest match within its duplicate group or against same-type peers).,float,0.315 to 1,0.687,0,Derived by group script,
processed/document_metadata_ocr_text_linked.csv,document_similarity_flag,"LOW / MEDIUM / HIGH: HIGH when similarity >= 0.90, MEDIUM when >= 0.70.",categorical,HIGH | LOW | MEDIUM,LOW,0,Derived by group script,
04_models/anomaly_model_customer_scores.csv,Customer_ID,"Identifier of the policyholder/claimant (e.g. CUST018311). One customer can have several claims and portal logins; join key to portal, document and anomaly tables.",identifier,"18,409 distinct values",CUST003707,0,Model output,Per-customer behavioural profile and Isolation Forest score (output of unsupervised_anomaly_model.py).
04_models/anomaly_model_customer_scores.csv,total_logins,Number of portal logins for the customer.,integer,1 to 10,1,0,Model output,
04_models/anomaly_model_customer_scores.csv,new_device_rate,Share of the customer's logins from a new device.,float,0 to 1,1.0,0,Model output,
04_models/anomaly_model_customer_scores.csv,unusual_location_rate,Share of logins from an unusual location.,float,0 to 1,1.0,0,Model output,
04_models/anomaly_model_customer_scores.csv,off_hours_rate,Share of logins between 22:00 and 06:00.,float,0 to 1,1.0,0,Model output,
04_models/anomaly_model_customer_scores.csv,avg_failed_attempts,Mean failed attempts before a successful login.,float,0 to 4,4.0,0,Model output,
04_models/anomaly_model_customer_scores.csv,failed_auth_rate,Share of logins that were 'Failed then Success'.,float,0 to 1,1.0,0,Model output,
04_models/anomaly_model_customer_scores.csv,distinct_devices,Number of distinct devices the customer used.,integer,1 to 9,1,0,Model output,
04_models/anomaly_model_customer_scores.csv,anomaly_score,Isolation Forest anomaly score (higher = more unusual relative to the customer population).,float,0.355409 to 0.73279,0.7327898196379425,0,Model output,
04_models/anomaly_model_customer_scores.csv,is_anomalous,"1 if the customer is in the most anomalous 8% (contamination = 0.08), else 0.",binary flag,"0, 1",1,0,Model output,
